,Event,Node,Target,Time
1764,Role,34, ROLE_AMBASSADOR,758
1765,Connect,48,34,758
1766,Role,80, ROLE_AMBASSADOR,759
1767,Connect,48,80,759
1768,Connect,48,86,760
1769,Role,87, ROLE_AMBASSADOR,761
1770,Connect,48,87,761
1771,Connect,48,92,762
1772,Connect,48,98,763
1773,Role,99, ROLE_AMBASSADOR,764
1774,Connect,48,99,764
1775,Connect,48,105,765
1776,Connect,48,106,766
1777,Role,114, ROLE_AMBASSADOR,767
1778,Connect,48,114,767
1779,Connect,48,121,768
1780,Role,49, ROLE_NONE,769
1781,Connect,49,12,769
1782,Role,17, ROLE_NONE,770
1783,Connect,49,17,770
1784,Role,21, ROLE_NONE,771
1785,Connect,49,21,771
1786,Role,49, ROLE_AMBASSADOR,772
1787,Connect,49,25,772
1788,Role,49, ROLE_NONE,773
1789,Connect,49,26,773
1790,Connect,49,32,774
1791,Role,49, ROLE_AMBASSADOR,775
1792,Connect,49,50,775
1793,Role,52, ROLE_AMBASSADOR,776
1794,Connect,49,52,776
1795,Role,53, ROLE_AMBASSADOR,777
1796,Connect,49,53,777
1797,Role,61, ROLE_AMBASSADOR,778
1798,Connect,49,61,778
1799,Connect,49,78,779
1800,Role,91, ROLE_AMBASSADOR,780
1801,Connect,49,91,780
1802,Role,107, ROLE_AMBASSADOR,781
1803,Connect,49,107,781
1804,Role,120, ROLE_AMBASSADOR,782
1805,Connect,49,120,782
1806,Connect,49,122,783
1807,Role,125, ROLE_AMBASSADOR,784
1808,Connect,49,125,784
1809,Connect,50,10,785
1810,Connect,50,15,786
1811,Role,50, ROLE_NONE,787
1812,Role,19, ROLE_NONE,787
1813,Connect,50,19,787
1814,Role,50, ROLE_AMBASSADOR,788
1815,Connect,50,33,788
1816,Connect,50,34,789
1817,Connect,50,39,790
1818,Connect,50,49,791
1819,Role,62, ROLE_AMBASSADOR,792
1820,Connect,50,62,792
1821,Connect,50,65,793
1822,Role,67, ROLE_AMBASSADOR,794
1823,Connect,50,67,794
1824,Connect,50,80,795
1825,Connect,50,85,796
1826,Connect,50,92,797
1827,Connect,50,102,798
1828,Connect,50,115,799
1829,Role,117, ROLE_AMBASSADOR,800
1830,Connect,50,117,800
1831,Connect,51,1,801
1832,Role,51, ROLE_NONE,802
1833,Connect,51,12,802
1834,Role,51, ROLE_AMBASSADOR,803
1835,Role,24, ROLE_AMBASSADOR,803
1836,Connect,51,24,803
1837,Role,29, ROLE_AMBASSADOR,804
1838,Connect,51,29,804
1839,Role,30, ROLE_AMBASSADOR,805
1840,Connect,51,30,805
1841,Role,51, ROLE_NONE,806
1842,Connect,51,32,806
1843,Role,53, ROLE_NONE,807
1844,Connect,51,53,807
1845,Role,51, ROLE_AMBASSADOR,808
1846,Connect,51,68,808
1847,Connect,51,72,809
1848,Connect,51,77,810
1849,Connect,51,79,811
1850,Connect,51,82,812
1851,Role,51, ROLE_NONE,813
1852,Role,91, ROLE_NONE,813
1853,Connect,51,91,813
1854,Role,107, ROLE_NONE,814
1855,Connect,51,107,814
1856,Role,120, ROLE_NONE,815
1857,Connect,51,120,815
1858,Role,51, ROLE_AMBASSADOR,816
1859,Role,124, ROLE_AMBASSADOR,816
1860,Connect,51,124,816
1861,Role,16, ROLE_AMBASSADOR,817
1862,Connect,52,16,817
1863,Role,18, ROLE_AMBASSADOR,818
1864,Connect,52,18,818
1865,Role,52, ROLE_NONE,819
1866,Role,24, ROLE_NONE,819
1867,Connect,52,24,819
1868,Role,25, ROLE_NONE,820
1869,Connect,52,25,820
1870,Connect,52,26,821
1871,Role,49, ROLE_NONE,822
1872,Connect,52,49,822
1873,Role,52, ROLE_AMBASSADOR,823
1874,Connect,52,54,823
1875,Connect,52,61,824
1876,Role,69, ROLE_AMBASSADOR,825
1877,Connect,52,69,825
1878,Connect,52,72,826
1879,Connect,52,78,827
1880,Connect,52,79,828
1881,Role,107, ROLE_AMBASSADOR,829
1882,Connect,52,107,829
1883,Connect,52,122,830
1884,Connect,52,124,831
1885,Connect,52,125,832
1886,Role,53, ROLE_AMBASSADOR,833
1887,Role,4, ROLE_AMBASSADOR,833
1888,Connect,53,4,833
1889,Role,53, ROLE_NONE,834
1890,Connect,53,12,834
1891,Role,16, ROLE_NONE,835
1892,Connect,53,16,835
1893,Connect,53,26,836
1894,Role,53, ROLE_AMBASSADOR,837
1895,Connect,53,31,837
1896,Role,53, ROLE_NONE,838
1897,Connect,53,32,838
1898,Connect,53,49,839
1899,Role,51, ROLE_NONE,840
1900,Connect,53,51,840
1901,Role,68, ROLE_NONE,841
1902,Connect,53,68,841
1903,Role,53, ROLE_AMBASSADOR,842
1904,Connect,53,72,842
1905,Connect,53,78,843
1906,Role,91, ROLE_AMBASSADOR,844
1907,Connect,53,91,844
1908,Connect,53,100,845
1909,Connect,53,107,846
1910,Connect,53,109,847
1911,Connect,53,122,848
1912,Role,54, ROLE_NONE,849
1913,Role,7, ROLE_NONE,849
1914,Connect,54,7,849
1915,Role,54, ROLE_AMBASSADOR,850
1916,Role,11, ROLE_AMBASSADOR,850
1917,Connect,54,11,850
1918,Role,54, ROLE_NONE,851
1919,Role,14, ROLE_NONE,851
1920,Connect,54,14,851
1921,Connect,54,23,852
1922,Role,54, ROLE_AMBASSADOR,853
1923,Role,45, ROLE_AMBASSADOR,853
1924,Connect,54,45,853
1925,Connect,54,52,854
1926,Connect,54,57,855
1927,Role,60, ROLE_AMBASSADOR,856
1928,Connect,54,60,856
1929,Connect,54,70,857
1930,Connect,54,73,858
1931,Connect,54,75,859
1932,Connect,54,83,860
1933,Connect,54,95,861
1934,Connect,54,104,862
1935,Role,111, ROLE_AMBASSADOR,863
1936,Connect,54,111,863
1937,Connect,54,112,864
1938,Role,55, ROLE_AMBASSADOR,865
1939,Role,2, ROLE_AMBASSADOR,865
1940,Connect,55,2,865
1941,Role,7, ROLE_AMBASSADOR,866
1942,Connect,55,7,866
1943,Connect,55,15,867
1944,Connect,55,35,868
1945,Connect,55,39,869
1946,Role,55, ROLE_NONE,870
1947,Role,41, ROLE_NONE,870
1948,Connect,55,41,870
1949,Role,55, ROLE_AMBASSADOR,871
1950,Role,44, ROLE_AMBASSADOR,871
1951,Connect,55,44,871
1952,Role,56, ROLE_AMBASSADOR,872
1953,Connect,55,56,872
1954,Connect,55,57,873
1955,Connect,55,59,874
1956,Connect,55,60,875
1957,Role,55, ROLE_NONE,876
1958,Role,70, ROLE_NONE,876
1959,Connect,55,70,876
1960,Role,75, ROLE_NONE,877
1961,Connect,55,75,877
1962,Role,55, ROLE_AMBASSADOR,878
1963,Connect,55,81,878
1964,Connect,55,104,879
1965,Connect,55,108,880
1966,Connect,56,11,881
1967,Role,14, ROLE_AMBASSADOR,882
1968,Connect,56,14,882
1969,Connect,56,55,883
1970,Connect,56,57,884
1971,Connect,56,59,885
1972,Role,56, ROLE_NONE,886
1973,Role,60, ROLE_NONE,886
1974,Connect,56,60,886
1975,Role,73, ROLE_NONE,887
1976,Connect,56,73,887
1977,Role,81, ROLE_NONE,888
1978,Connect,56,81,888
1979,Role,56, ROLE_AMBASSADOR,889
1980,Role,88, ROLE_AMBASSADOR,889
1981,Connect,56,88,889
1982,Connect,56,93,890
1983,Connect,56,94,891
1984,Role,56, ROLE_NONE,892
1985,Role,95, ROLE_NONE,892
1986,Connect,56,95,892
1987,Role,56, ROLE_AMBASSADOR,893
1988,Connect,56,108,893
1989,Connect,56,112,894
1990,Role,113, ROLE_AMBASSADOR,895
1991,Connect,56,113,895
1992,Connect,56,127,896
1993,Connect,57,11,897
1994,Connect,57,18,898
1995,Role,57, ROLE_NONE,899
1996,Role,35, ROLE_NONE,899
1997,Connect,57,35,899
1998,Role,57, ROLE_AMBASSADOR,900
1999,Role,41, ROLE_AMBASSADOR,900
2000,Connect,57,41,900
2001,Role,57, ROLE_NONE,901
2002,Role,54, ROLE_NONE,901
2003,Connect,57,54,901
2004,Role,55, ROLE_NONE,902
2005,Connect,57,55,902
2006,Role,56, ROLE_NONE,903
2007,Connect,57,56,903
2008,Role,57, ROLE_AMBASSADOR,904
2009,Role,58, ROLE_AMBASSADOR,904
2010,Connect,57,58,904
2011,Role,57, ROLE_NONE,905
2012,Connect,57,70,905
2013,Connect,57,75,906
2014,Role,88, ROLE_NONE,907
2015,Connect,57,88,907
2016,Role,57, ROLE_AMBASSADOR,908
2017,Connect,57,93,908
2018,Connect,57,108,909
2019,Connect,57,113,910
2020,Connect,57,119,911
2021,Connect,57,127,912
2022,Role,58, ROLE_NONE,913
2023,Role,11, ROLE_NONE,913
2024,Connect,58,11,913
2025,Role,14, ROLE_NONE,914
2026,Connect,58,14,914
2027,Role,58, ROLE_AMBASSADOR,915
2028,Role,16, ROLE_AMBASSADOR,915
2029,Connect,58,16,915
2030,Role,58, ROLE_NONE,916
2031,Role,41, ROLE_NONE,916
2032,Connect,58,41,916
2033,Role,58, ROLE_AMBASSADOR,917
2034,Connect,58,44,917
2035,Connect,58,57,918
2036,Connect,58,59,919
2037,Role,70, ROLE_AMBASSADOR,920
2038,Connect,58,70,920
2039,Role,73, ROLE_AMBASSADOR,921
2040,Connect,58,73,921
2041,Role,75, ROLE_AMBASSADOR,922
2042,Connect,58,75,922
2043,Role,88, ROLE_AMBASSADOR,923
2044,Connect,58,88,923
2045,Connect,58,93,924
2046,Role,58, ROLE_NONE,925
2047,Role,108, ROLE_NONE,925
2048,Connect,58,108,925
2049,Role,110, ROLE_NONE,926
2050,Connect,58,110,926
2051,Role,113, ROLE_NONE,927
2052,Connect,58,113,927
2053,Role,119, ROLE_NONE,928
2054,Connect,58,119,928
2055,Role,11, ROLE_AMBASSADOR,929
2056,Connect,59,11,929
2057,Role,59, ROLE_NONE,930
2058,Connect,59,35,930
2059,Role,59, ROLE_AMBASSADOR,931
2060,Connect,59,42,931
2061,Role,59, ROLE_NONE,932
2062,Role,44, ROLE_NONE,932
2063,Connect,59,44,932
2064,Connect,59,55,933
2065,Connect,59,56,934
2066,Role,59, ROLE_AMBASSADOR,935
2067,Role,58, ROLE_AMBASSADOR,935
2068,Connect,59,58,935
2069,Connect,59,74,936
2070,Connect,59,75,937
2071,Role,59, ROLE_NONE,938
2072,Connect,59,81,938
2073,Role,88, ROLE_NONE,939
2074,Connect,59,88,939
2075,Role,59, ROLE_AMBASSADOR,940
2076,Role,89, ROLE_AMBASSADOR,940
2077,Connect,59,89,940
2078,Role,59, ROLE_NONE,941
2079,Role,93, ROLE_NONE,941
2080,Connect,59,93,941
2081,Connect,59,95,942
2082,Role,104, ROLE_NONE,943
2083,Connect,59,104,943
2084,Connect,59,108,944
2085,Role,11, ROLE_NONE,945
2086,Connect,60,11,945
2087,Connect,60,14,946
2088,Role,60, ROLE_AMBASSADOR,947
2089,Role,35, ROLE_AMBASSADOR,947
2090,Connect,60,35,947
2091,Connect,60,39,948
2092,Role,44, ROLE_AMBASSADOR,949
2093,Connect,60,44,949
2094,Connect,60,45,950
2095,Role,54, ROLE_AMBASSADOR,951
2096,Connect,60,54,951
2097,Role,60, ROLE_NONE,952
2098,Connect,60,55,952
2099,Connect,60,56,953
2100,Role,60, ROLE_AMBASSADOR,954
2101,Connect,60,73,954
2102,Role,81, ROLE_AMBASSADOR,955
2103,Connect,60,81,955
2104,Connect,60,102,956
2105,Role,110, ROLE_AMBASSADOR,957
2106,Connect,60,110,957
2107,Connect,60,111,958
2108,Connect,60,112,959
2109,Role,119, ROLE_AMBASSADOR,960
2110,Connect,60,119,960
2111,Role,61, ROLE_NONE,961
2112,Role,4, ROLE_NONE,961
2113,Connect,61,4,961
2114,Connect,61,12,962
2115,Role,61, ROLE_AMBASSADOR,963
2116,Role,17, ROLE_AMBASSADOR,963
2117,Connect,61,17,963
2118,Role,61, ROLE_NONE,964
2119,Connect,61,21,964
2120,Role,61, ROLE_AMBASSADOR,965
2121,Role,24, ROLE_AMBASSADOR,965
2122,Connect,61,24,965
2123,Role,61, ROLE_NONE,966
2124,Connect,61,26,966
2125,Role,61, ROLE_AMBASSADOR,967
2126,Connect,61,29,967
2127,Role,61, ROLE_NONE,968
2128,Connect,61,32,968
2129,Connect,61,49,969
2130,Role,61, ROLE_AMBASSADOR,970
2131,Connect,61,52,970
2132,Connect,61,72,971
2133,Connect,61,77,972
2134,Role,95, ROLE_AMBASSADOR,973
2135,Connect,61,95,973
2136,Connect,61,107,974
2137,Connect,61,109,975
2138,Role,120, ROLE_AMBASSADOR,976
2139,Connect,61,120,976
2140,Connect,62,10,977
2141,Role,62, ROLE_NONE,978
2142,Connect,62,19,978
2143,Role,62, ROLE_AMBASSADOR,979
2144,Connect,62,20,979
2145,Connect,62,28,980
2146,Connect,62,34,981
2147,Role,62, ROLE_NONE,982
2148,Role,50, ROLE_NONE,982
2149,Connect,62,50,982
2150,Role,65, ROLE_NONE,983
2151,Connect,62,65,983
2152,Role,62, ROLE_AMBASSADOR,984
2153,Role,76, ROLE_AMBASSADOR,984
2154,Connect,62,76,984
2155,Connect,62,80,985
2156,Connect,62,87,986
2157,Connect,62,92,987
2158,Connect,62,98,988
2159,Connect,62,99,989
2160,Connect,62,100,990
2161,Connect,62,106,991
2162,Connect,62,116,992
2163,Role,63, ROLE_NONE,993
2164,Connect,63,8,993
2165,Role,63, ROLE_AMBASSADOR,994
2166,Role,25, ROLE_AMBASSADOR,994
2167,Connect,63,25,994
2168,Connect,63,27,995
2169,Connect,63,31,996
2170,Connect,63,37,997
2171,Role,38, ROLE_AMBASSADOR,998
2172,Connect,63,38,998
2173,Role,63, ROLE_NONE,999
2174,Connect,63,43,999
2175,Role,47, ROLE_NONE,1000
2176,Connect,63,47,1000
2177,Role,63, ROLE_AMBASSADOR,1001
2178,Role,71, ROLE_AMBASSADOR,1001
2179,Connect,63,71,1001
2180,Connect,63,74,1002
2181,Connect,63,76,1003
2182,Connect,63,84,1004
2183,Connect,63,89,1005
2184,Connect,63,90,1006
2185,Connect,63,94,1007
2186,Connect,63,121,1008
2187,Role,4, ROLE_AMBASSADOR,1009
2188,Connect,64,4,1009
2189,Role,64, ROLE_NONE,1010
2190,Connect,64,11,1010
2191,Role,64, ROLE_AMBASSADOR,1011
2192,Role,12, ROLE_AMBASSADOR,1011
2193,Connect,64,12,1011
2194,Connect,64,16,1012
2195,Role,64, ROLE_NONE,1013
2196,Role,17, ROLE_NONE,1013
2197,Connect,64,17,1013
2198,Role,64, ROLE_AMBASSADOR,1014
2199,Connect,64,18,1014
2200,Connect,64,24,1015
2201,Role,64, ROLE_NONE,1016
2202,Connect,64,26,1016
2203,Role,64, ROLE_AMBASSADOR,1017
2204,Connect,64,29,1017
2205,Connect,64,30,1018
2206,Connect,64,78,1019
2207,Connect,64,79,1020
2208,Connect,64,82,1021
2209,Connect,64,91,1022
2210,Connect,64,122,1023
2211,Connect,64,125,1024
2212,Role,15, ROLE_NONE,1025
2213,Connect,65,15,1025
2214,Role,28, ROLE_NONE,1026
2215,Connect,65,28,1026
2216,Role,33, ROLE_NONE,1027
2217,Connect,65,33,1027
2218,Role,65, ROLE_AMBASSADOR,1028
2219,Role,46, ROLE_AMBASSADOR,1028
2220,Connect,65,46,1028
2221,Role,65, ROLE_NONE,1029
2222,Connect,65,50,1029
2223,Role,65, ROLE_AMBASSADOR,1030
2224,Connect,65,62,1030
2225,Role,65, ROLE_NONE,1031
2226,Role,67, ROLE_NONE,1031
2227,Connect,65,67,1031
2228,Role,65, ROLE_AMBASSADOR,1032
2229,Connect,65,85,1032
2230,Connect,65,87,1033
2231,Connect,65,92,1034
2232,Connect,65,99,1035
2233,Connect,65,106,1036
2234,Role,65, ROLE_NONE,1037
2235,Role,115, ROLE_NONE,1037
2236,Connect,65,115,1037
2237,Role,65, ROLE_AMBASSADOR,1038
2238,Connect,65,116,1038
2239,Connect,65,117,1039
2240,Connect,65,120,1040
2241,Connect,66,3,1041
2242,Role,8, ROLE_AMBASSADOR,1042
2243,Connect,66,8,1042
2244,Connect,66,13,1043
2245,Role,19, ROLE_AMBASSADOR,1044
2246,Connect,66,19,1044
2247,Role,23, ROLE_AMBASSADOR,1045
2248,Connect,66,23,1045
2249,Role,33, ROLE_AMBASSADOR,1046
2250,Connect,66,33,1046
2251,Connect,66,36,1047
2252,Role,66, ROLE_NONE,1048
2253,Role,38, ROLE_NONE,1048
2254,Connect,66,38,1048
2255,Role,71, ROLE_NONE,1049
2256,Connect,66,71,1049
2257,Role,84, ROLE_NONE,1050
2258,Connect,66,84,1050
2259,Role,90, ROLE_NONE,1051
2260,Connect,66,90,1051
2261,Role,94, ROLE_NONE,1052
2262,Connect,66,94,1052
2263,Role,121, ROLE_NONE,1053
2264,Connect,66,121,1053
2265,Role,66, ROLE_AMBASSADOR,1054
2266,Role,123, ROLE_AMBASSADOR,1054
2267,Connect,66,123,1054
2268,Connect,66,127,1055
2269,Connect,66,128,1056
2270,Role,67, ROLE_AMBASSADOR,1057
2271,Role,5, ROLE_AMBASSADOR,1057
2272,Connect,67,5,1057
2273,Connect,67,10,1058
2274,Role,67, ROLE_NONE,1059
2275,Connect,67,15,1059
2276,Role,67, ROLE_AMBASSADOR,1060
2277,Connect,67,29,1060
2278,Role,67, ROLE_NONE,1061
2279,Role,33, ROLE_NONE,1061
2280,Connect,67,33,1061
2281,Connect,67,50,1062
2282,Role,65, ROLE_NONE,1063
2283,Connect,67,65,1063
2284,Role,67, ROLE_AMBASSADOR,1064
2285,Connect,67,69,1064
2286,Connect,67,85,1065
2287,Connect,67,86,1066
2288,Connect,67,92,1067
2289,Connect,67,100,1068
2290,Connect,67,105,1069
2291,Role,67, ROLE_NONE,1070
2292,Role,106, ROLE_NONE,1070
2293,Connect,67,106,1070
2294,Role,67, ROLE_AMBASSADOR,1071
2295,Connect,67,114,1071
2296,Role,115, ROLE_AMBASSADOR,1072
2297,Connect,67,115,1072
2298,Role,68, ROLE_AMBASSADOR,1073
2299,Connect,68,12,1073
2300,Role,68, ROLE_NONE,1074
2301,Role,16, ROLE_NONE,1074
2302,Connect,68,16,1074
2303,Connect,68,17,1075
2304,Role,18, ROLE_NONE,1076
2305,Connect,68,18,1076
2306,Role,68, ROLE_AMBASSADOR,1077
2307,Connect,68,25,1077
2308,Role,68, ROLE_NONE,1078
2309,Connect,68,26,1078
2310,Role,68, ROLE_AMBASSADOR,1079
2311,Connect,68,29,1079
2312,Role,68, ROLE_NONE,1080
2313,Role,30, ROLE_NONE,1080
2314,Connect,68,30,1080
2315,Role,68, ROLE_AMBASSADOR,1081
2316,Role,51, ROLE_AMBASSADOR,1081
2317,Connect,68,51,1081
2318,Connect,68,53,1082
2319,Connect,68,77,1083
2320,Connect,68,80,1084
2321,Role,68, ROLE_NONE,1085
2322,Role,105, ROLE_NONE,1085
2323,Connect,68,105,1085
2324,Role,107, ROLE_NONE,1086
2325,Connect,68,107,1086
2326,Role,68, ROLE_AMBASSADOR,1087
2327,Connect,68,109,1087
2328,Connect,68,125,1088
2329,Connect,69,4,1089
2330,Connect,69,12,1090
2331,Role,16, ROLE_AMBASSADOR,1091
2332,Connect,69,16,1091
2333,Connect,69,24,1092
2334,Role,26, ROLE_AMBASSADOR,1093
2335,Connect,69,26,1093
2336,Connect,69,29,1094
2337,Role,32, ROLE_AMBASSADOR,1095
2338,Connect,69,32,1095
2339,Connect,69,52,1096
2340,Connect,69,67,1097
2341,Connect,69,72,1098
2342,Connect,69,77,1099
2343,Connect,69,91,1100
2344,Role,69, ROLE_NONE,1101
2345,Connect,69,107,1101
2346,Role,69, ROLE_AMBASSADOR,1102
2347,Connect,69,114,1102
2348,Connect,69,124,1103
2349,Role,69, ROLE_NONE,1104
2350,Role,125, ROLE_NONE,1104
2351,Connect,69,125,1104
2352,Role,70, ROLE_NONE,1105
2353,Role,2, ROLE_NONE,1105
2354,Connect,70,2,1105
2355,Role,6, ROLE_NONE,1106
2356,Connect,70,6,1106
2357,Connect,70,11,1107
2358,Connect,70,41,1108
2359,Role,70, ROLE_AMBASSADOR,1109
2360,Role,43, ROLE_AMBASSADOR,1109
2361,Connect,70,43,1109
2362,Role,70, ROLE_NONE,1110
2363,Role,44, ROLE_NONE,1110
2364,Connect,70,44,1110
2365,Role,45, ROLE_NONE,1111
2366,Connect,70,45,1111
2367,Role,54, ROLE_NONE,1112
2368,Connect,70,54,1112
2369,Connect,70,55,1113
2370,Role,70, ROLE_AMBASSADOR,1114
2371,Connect,70,57,1114
2372,Role,70, ROLE_NONE,1115
2373,Role,58, ROLE_NONE,1115
2374,Connect,70,58,1115
2375,Role,73, ROLE_NONE,1116
2376,Connect,70,73,1116
2377,Role,70, ROLE_AMBASSADOR,1117
2378,Connect,70,75,1117
2379,Role,70, ROLE_NONE,1118
2380,Connect,70,108,1118
2381,Role,110, ROLE_NONE,1119
2382,Connect,70,110,1119
2383,Role,112, ROLE_NONE,1120
2384,Connect,70,112,1120
2385,Role,71, ROLE_AMBASSADOR,1121
2386,Role,2, ROLE_AMBASSADOR,1121
2387,Connect,71,2,1121
2388,Connect,71,9,1122
2389,Role,71, ROLE_NONE,1123
2390,Role,13, ROLE_NONE,1123
2391,Connect,71,13,1123
2392,Role,71, ROLE_AMBASSADOR,1124
2393,Role,22, ROLE_AMBASSADOR,1124
2394,Connect,71,22,1124
2395,Connect,71,27,1125
2396,Role,71, ROLE_NONE,1126
2397,Role,36, ROLE_NONE,1126
2398,Connect,71,36,1126
2399,Connect,71,38,1127
2400,Role,71, ROLE_AMBASSADOR,1128
2401,Role,40, ROLE_AMBASSADOR,1128
2402,Connect,71,40,1128
2403,Role,71, ROLE_NONE,1129
2404,Role,43, ROLE_NONE,1129
2405,Connect,71,43,1129
2406,Role,63, ROLE_NONE,1130
2407,Connect,71,63,1130
2408,Role,66, ROLE_NONE,1131
2409,Connect,71,66,1131
2410,Role,71, ROLE_AMBASSADOR,1132
2411,Role,90, ROLE_AMBASSADOR,1132
2412,Connect,71,90,1132
2413,Connect,71,96,1133
2414,Connect,71,123,1134
2415,Connect,71,126,1135
2416,Connect,71,128,1136
2417,Role,72, ROLE_NONE,1137
2418,Role,12, ROLE_NONE,1137
2419,Connect,72,12,1137
2420,Role,72, ROLE_AMBASSADOR,1138
2421,Connect,72,16,1138
2422,Role,72, ROLE_NONE,1139
2423,Connect,72,21,1139
2424,Role,25, ROLE_NONE,1140
2425,Connect,72,25,1140
2426,Role,26, ROLE_NONE,1141
2427,Connect,72,26,1141
2428,Role,29, ROLE_NONE,1142
2429,Connect,72,29,1142
2430,Role,72, ROLE_AMBASSADOR,1143
2431,Role,41, ROLE_AMBASSADOR,1143
2432,Connect,72,41,1143
2433,Role,72, ROLE_NONE,1144
2434,Role,51, ROLE_NONE,1144
2435,Connect,72,51,1144
2436,Role,72, ROLE_AMBASSADOR,1145
2437,Connect,72,52,1145
2438,Role,72, ROLE_NONE,1146
2439,Role,53, ROLE_NONE,1146
2440,Connect,72,53,1146
2441,Role,72, ROLE_AMBASSADOR,1147
2442,Connect,72,61,1147
2443,Role,69, ROLE_AMBASSADOR,1148
2444,Connect,72,69,1148
2445,Connect,72,77,1149
2446,Connect,72,78,1150
2447,Connect,72,82,1151
2448,Connect,72,103,1152
2449,Role,10, ROLE_NONE,1153
2450,Connect,73,10,1153
2451,Connect,73,44,1154
2452,Connect,73,54,1155
2453,Connect,73,56,1156
2454,Connect,73,58,1157
2455,Role,60, ROLE_NONE,1158
2456,Connect,73,60,1158
2457,Connect,73,70,1159
2458,Role,81, ROLE_NONE,1160
2459,Connect,73,81,1160
2460,Role,73, ROLE_AMBASSADOR,1161
2461,Role,88, ROLE_AMBASSADOR,1161
2462,Connect,73,88,1161
2463,Connect,73,95,1162
2464,Role,73, ROLE_NONE,1163
2465,Connect,73,110,1163
2466,Role,73, ROLE_AMBASSADOR,1164
2467,Connect,73,111,1164
2468,Role,112, ROLE_AMBASSADOR,1165
2469,Connect,73,112,1165
2470,Role,113, ROLE_AMBASSADOR,1166
2471,Connect,73,113,1166
2472,Connect,73,119,1167
2473,Connect,73,127,1168
2474,Connect,74,3,1169
2475,Role,74, ROLE_NONE,1170
2476,Role,8, ROLE_NONE,1170
2477,Connect,74,8,1170
2478,Role,74, ROLE_AMBASSADOR,1171
2479,Connect,74,9,1171
2480,Role,74, ROLE_NONE,1172
2481,Role,19, ROLE_NONE,1172
2482,Connect,74,19,1172
2483,Role,22, ROLE_NONE,1173
2484,Connect,74,22,1173
2485,Role,74, ROLE_AMBASSADOR,1174
2486,Role,36, ROLE_AMBASSADOR,1174
2487,Connect,74,36,1174
2488,Role,74, ROLE_NONE,1175
2489,Connect,74,47,1175
2490,Role,74, ROLE_AMBASSADOR,1176
2491,Role,59, ROLE_AMBASSADOR,1176
2492,Connect,74,59,1176
2493,Role,74, ROLE_NONE,1177
2494,Connect,74,63,1177
2495,Role,74, ROLE_AMBASSADOR,1178
2496,Connect,74,76,1178
2497,Connect,74,89,1179
2498,Connect,74,91,1180
2499,Connect,74,96,1181
2500,Role,121, ROLE_AMBASSADOR,1182
2501,Connect,74,121,1182
2502,Connect,74,123,1183
2503,Connect,74,128,1184
2504,Connect,75,7,1185
2505,Connect,75,9,1186
2506,Role,14, ROLE_AMBASSADOR,1187
2507,Connect,75,14,1187
2508,Connect,75,41,1188
2509,Role,45, ROLE_AMBASSADOR,1189
2510,Connect,75,45,1189
2511,Role,54, ROLE_AMBASSADOR,1190
2512,Connect,75,54,1190
2513,Role,55, ROLE_AMBASSADOR,1191
2514,Connect,75,55,1191
2515,Connect,75,57,1192
2516,Role,75, ROLE_NONE,1193
2517,Connect,75,58,1193
2518,Role,59, ROLE_NONE,1194
2519,Connect,75,59,1194
2520,Connect,75,70,1195
2521,Role,75, ROLE_AMBASSADOR,1196
2522,Connect,75,88,1196
2523,Connect,75,92,1197
2524,Role,104, ROLE_AMBASSADOR,1198
2525,Connect,75,104,1198
2526,Connect,75,112,1199
2527,Connect,75,113,1200
2528,Role,76, ROLE_NONE,1201
2529,Connect,76,8,1201
2530,Role,76, ROLE_AMBASSADOR,1202
2531,Connect,76,31,1202
2532,Connect,76,36,1203
2533,Connect,76,62,1204
2534,Role,76, ROLE_NONE,1205
2535,Connect,76,63,1205
2536,Role,74, ROLE_NONE,1206
2537,Connect,76,74,1206
2538,Role,76, ROLE_AMBASSADOR,1207
2539,Role,84, ROLE_AMBASSADOR,1207
2540,Connect,76,84,1207
2541,Role,76, ROLE_NONE,1208
2542,Role,89, ROLE_NONE,1208
2543,Connect,76,89,1208
2544,Role,76, ROLE_AMBASSADOR,1209
2545,Connect,76,90,1209
2546,Role,94, ROLE_AMBASSADOR,1210
2547,Connect,76,94,1210
2548,Connect,76,97,1211
2549,Connect,76,116,1212
2550,Role,118, ROLE_AMBASSADOR,1213
2551,Connect,76,118,1213
2552,Connect,76,123,1214
2553,Connect,76,126,1215
2554,Connect,76,128,1216
2555,Role,77, ROLE_NONE,1217
2556,Connect,77,12,1217
2557,Role,77, ROLE_AMBASSADOR,1218
2558,Connect,77,16,1218
2559,Role,18, ROLE_AMBASSADOR,1219
2560,Connect,77,18,1219
2561,Connect,77,24,1220
2562,Role,29, ROLE_AMBASSADOR,1221
2563,Connect,77,29,1221
2564,Role,30, ROLE_AMBASSADOR,1222
2565,Connect,77,30,1222
2566,Connect,77,40,1223
2567,Role,77, ROLE_NONE,1224
2568,Connect,77,51,1224
2569,Role,61, ROLE_NONE,1225
2570,Connect,77,61,1225
2571,Role,77, ROLE_AMBASSADOR,1226
2572,Connect,77,68,1226
2573,Connect,77,69,1227
2574,Role,77, ROLE_NONE,1228
2575,Role,72, ROLE_NONE,1228
2576,Connect,77,72,1228
2577,Role,77, ROLE_AMBASSADOR,1229
2578,Connect,77,79,1229
2579,Connect,77,84,1230
2580,Connect,77,109,1231
2581,Connect,77,124,1232
