,Event,Node,Target,Time
1157,Connect,28,100,444
1158,Role,28, ROLE_NONE,445
1159,Role,101, ROLE_NONE,445
1160,Connect,28,101,445
1161,Role,103, ROLE_NONE,446
1162,Connect,28,103,446
1163,Role,114, ROLE_NONE,447
1164,Connect,28,114,447
1165,Role,116, ROLE_NONE,448
1166,Connect,28,116,448
1167,Connect,29,4,449
1168,Role,29, ROLE_AMBASSADOR,450
1169,Connect,29,17,450
1170,Role,29, ROLE_NONE,451
1171,Role,18, ROLE_NONE,451
1172,Connect,29,18,451
1173,Role,29, ROLE_AMBASSADOR,452
1174,Role,32, ROLE_AMBASSADOR,452
1175,Connect,29,32,452
1176,Connect,29,51,453
1177,Role,61, ROLE_AMBASSADOR,454
1178,Connect,29,61,454
1179,Role,64, ROLE_AMBASSADOR,455
1180,Connect,29,64,455
1181,Role,67, ROLE_AMBASSADOR,456
1182,Connect,29,67,456
1183,Role,68, ROLE_AMBASSADOR,457
1184,Connect,29,68,457
1185,Role,69, ROLE_AMBASSADOR,458
1186,Connect,29,69,458
1187,Role,72, ROLE_AMBASSADOR,459
1188,Connect,29,72,459
1189,Role,77, ROLE_AMBASSADOR,460
1190,Connect,29,77,460
1191,Role,29, ROLE_NONE,461
1192,Role,86, ROLE_NONE,461
1193,Connect,29,86,461
1194,Role,29, ROLE_AMBASSADOR,462
1195,Role,122, ROLE_AMBASSADOR,462
1196,Connect,29,122,462
1197,Role,29, ROLE_NONE,463
1198,Role,124, ROLE_NONE,463
1199,Connect,29,124,463
1200,Connect,29,125,464
1201,Connect,30,4,465
1202,Role,30, ROLE_AMBASSADOR,466
1203,Role,18, ROLE_AMBASSADOR,466
1204,Connect,30,18,466
1205,Role,30, ROLE_NONE,467
1206,Connect,30,21,467
1207,Role,30, ROLE_AMBASSADOR,468
1208,Connect,30,32,468
1209,Connect,30,51,469
1210,Connect,30,64,470
1211,Connect,30,68,471
1212,Connect,30,77,472
1213,Role,78, ROLE_AMBASSADOR,473
1214,Connect,30,78,473
1215,Role,30, ROLE_NONE,474
1216,Connect,30,79,474
1217,Connect,30,91,475
1218,Role,106, ROLE_NONE,476
1219,Connect,30,106,476
1220,Connect,30,109,477
1221,Connect,30,120,478
1222,Role,30, ROLE_AMBASSADOR,479
1223,Connect,30,123,479
1224,Role,30, ROLE_NONE,480
1225,Connect,30,124,480
1226,Connect,31,1,481
1227,Connect,31,3,482
1228,Connect,31,13,483
1229,Connect,31,19,484
1230,Role,31, ROLE_AMBASSADOR,485
1231,Role,27, ROLE_AMBASSADOR,485
1232,Connect,31,27,485
1233,Connect,31,37,486
1234,Connect,31,40,487
1235,Role,43, ROLE_AMBASSADOR,488
1236,Connect,31,43,488
1237,Connect,31,47,489
1238,Role,53, ROLE_AMBASSADOR,490
1239,Connect,31,53,490
1240,Role,63, ROLE_AMBASSADOR,491
1241,Connect,31,63,491
1242,Role,76, ROLE_AMBASSADOR,492
1243,Connect,31,76,492
1244,Role,89, ROLE_AMBASSADOR,493
1245,Connect,31,89,493
1246,Role,31, ROLE_NONE,494
1247,Role,90, ROLE_NONE,494
1248,Connect,31,90,494
1249,Role,96, ROLE_NONE,495
1250,Connect,31,96,495
1251,Connect,31,126,496
1252,Role,4, ROLE_AMBASSADOR,497
1253,Connect,32,4,497
1254,Role,32, ROLE_NONE,498
1255,Role,18, ROLE_NONE,498
1256,Connect,32,18,498
1257,Role,32, ROLE_AMBASSADOR,499
1258,Role,21, ROLE_AMBASSADOR,499
1259,Connect,32,21,499
1260,Role,32, ROLE_NONE,500
1261,Connect,32,24,500
1262,Connect,32,29,501
1263,Connect,32,30,502
1264,Role,32, ROLE_AMBASSADOR,503
1265,Role,49, ROLE_AMBASSADOR,503
1266,Connect,32,49,503
1267,Connect,32,51,504
1268,Role,32, ROLE_NONE,505
1269,Role,53, ROLE_NONE,505
1270,Connect,32,53,505
1271,Role,61, ROLE_NONE,506
1272,Connect,32,61,506
1273,Role,69, ROLE_NONE,507
1274,Connect,32,69,507
1275,Role,32, ROLE_AMBASSADOR,508
1276,Role,79, ROLE_AMBASSADOR,508
1277,Connect,32,79,508
1278,Role,32, ROLE_NONE,509
1279,Role,97, ROLE_NONE,509
1280,Connect,32,97,509
1281,Role,32, ROLE_AMBASSADOR,510
1282,Role,109, ROLE_AMBASSADOR,510
1283,Connect,32,109,510
1284,Connect,32,122,511
1285,Role,32, ROLE_NONE,512
1286,Connect,32,124,512
1287,Connect,33,5,513
1288,Role,33, ROLE_AMBASSADOR,514
1289,Connect,33,15,514
1290,Role,33, ROLE_NONE,515
1291,Connect,33,20,515
1292,Role,39, ROLE_NONE,516
1293,Connect,33,39,516
1294,Role,40, ROLE_NONE,517
1295,Connect,33,40,517
1296,Role,46, ROLE_NONE,518
1297,Connect,33,46,518
1298,Connect,33,48,519
1299,Role,33, ROLE_AMBASSADOR,520
1300,Connect,33,50,520
1301,Role,33, ROLE_NONE,521
1302,Role,65, ROLE_NONE,521
1303,Connect,33,65,521
1304,Role,66, ROLE_NONE,522
1305,Connect,33,66,522
1306,Role,67, ROLE_NONE,523
1307,Connect,33,67,523
1308,Connect,33,86,524
1309,Connect,33,87,525
1310,Connect,33,101,526
1311,Connect,33,103,527
1312,Connect,33,116,528
1313,Role,34, ROLE_AMBASSADOR,529
1314,Connect,34,6,529
1315,Role,34, ROLE_NONE,530
1316,Connect,34,39,530
1317,Role,45, ROLE_NONE,531
1318,Connect,34,45,531
1319,Connect,34,46,532
1320,Connect,34,48,533
1321,Role,50, ROLE_NONE,534
1322,Connect,34,50,534
1323,Connect,34,62,535
1324,Role,34, ROLE_AMBASSADOR,536
1325,Connect,34,78,536
1326,Role,34, ROLE_NONE,537
1327,Role,80, ROLE_NONE,537
1328,Connect,34,80,537
1329,Connect,34,87,538
1330,Role,99, ROLE_NONE,539
1331,Connect,34,99,539
1332,Connect,34,101,540
1333,Role,34, ROLE_AMBASSADOR,541
1334,Connect,34,102,541
1335,Role,34, ROLE_NONE,542
1336,Connect,34,103,542
1337,Connect,34,114,543
1338,Role,34, ROLE_AMBASSADOR,544
1339,Role,115, ROLE_AMBASSADOR,544
1340,Connect,34,115,544
1341,Role,2, ROLE_AMBASSADOR,545
1342,Connect,35,2,545
1343,Role,3, ROLE_AMBASSADOR,546
1344,Connect,35,3,546
1345,Role,9, ROLE_AMBASSADOR,547
1346,Connect,35,9,547
1347,Connect,35,41,548
1348,Role,35, ROLE_NONE,549
1349,Connect,35,45,549
1350,Role,35, ROLE_AMBASSADOR,550
1351,Connect,35,55,550
1352,Role,35, ROLE_NONE,551
1353,Role,57, ROLE_NONE,551
1354,Connect,35,57,551
1355,Role,59, ROLE_NONE,552
1356,Connect,35,59,552
1357,Connect,35,60,553
1358,Connect,35,83,554
1359,Connect,35,88,555
1360,Connect,35,93,556
1361,Connect,35,104,557
1362,Connect,35,108,558
1363,Role,110, ROLE_NONE,559
1364,Connect,35,110,559
1365,Connect,35,113,560
1366,Role,36, ROLE_NONE,561
1367,Connect,36,7,561
1368,Role,36, ROLE_AMBASSADOR,562
1369,Role,19, ROLE_AMBASSADOR,562
1370,Connect,36,19,562
1371,Role,36, ROLE_NONE,563
1372,Role,23, ROLE_NONE,563
1373,Connect,36,23,563
1374,Role,27, ROLE_NONE,564
1375,Connect,36,27,564
1376,Role,37, ROLE_NONE,565
1377,Connect,36,37,565
1378,Connect,36,40,566
1379,Connect,36,66,567
1380,Role,36, ROLE_AMBASSADOR,568
1381,Role,71, ROLE_AMBASSADOR,568
1382,Connect,36,71,568
1383,Role,74, ROLE_AMBASSADOR,569
1384,Connect,36,74,569
1385,Role,36, ROLE_NONE,570
1386,Role,76, ROLE_NONE,570
1387,Connect,36,76,570
1388,Role,89, ROLE_NONE,571
1389,Connect,36,89,571
1390,Connect,36,96,572
1391,Connect,36,97,573
